_hex_pair	private helper	src-only	src=3 test=0	src/app/ui.web/_HostTaskbarRuntime/mode_and_layout_helpers.spl;src/app/ui.web/wm_quality_contract.spl;src/lib/common/color/convert.spl
_invalid_ref_v1	private helper	src-only	src=2 test=0	src/os/sosix/fs/registered_buffer_client_v1.spl;src/os/sosix/fs/registry_lifecycle_v1.spl
_invlpg	private helper	src-only	src=3 test=0	src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl
_is_alpha	private helper	src-only	src=11 test=0	src/app/llm_caret/redact.spl;src/app/office/math_editor.spl;src/app/office/sheets/formula.spl;src/lib/blink/css_parser/tokenizer.spl;src/lib/common/css/length.spl;src/lib/common/js/engine/lexer.spl;src/lib/common/math_repr.spl;src/lib/common/text_advanced.spl
_is_leap_year	private helper	src-only	src=2 test=0	src/app/devhub/output.spl;src/app/office/planner/calendar_view.spl
_issue_to_json	private helper	src-only	src=2 test=0	src/lib/common/ui/access_source.spl;src/lib/common/ui/access_vision.spl
_issues_to_json	private helper	src-only	src=2 test=0	src/lib/common/ui/access_source.spl;src/lib/common/ui/access_vision.spl
_jac_add_mixed	private helper	src-only	src=2 test=0	src/os/crypto/ecdh_p256.spl;src/os/crypto/p384_point.spl
_jac_double	private helper	src-only	src=3 test=0	src/os/crypto/ecdh_p256.spl;src/os/crypto/ecdsa_p521.spl;src/os/crypto/p384_point.spl
_jac_from_affine	private helper	src-only	src=3 test=0	src/os/crypto/ecdh_p256.spl;src/os/crypto/ecdsa_p521.spl;src/os/crypto/p384_point.spl
_jac_inf	private helper	src-only	src=3 test=0	src/os/crypto/ecdh_p256.spl;src/os/crypto/ecdsa_p521.spl;src/os/crypto/p384_point.spl
_leading_spaces	private helper	src-only	src=6 test=0	src/app/devhub/cmd_email.spl;src/app/office/slides/deck_format.spl;src/compiler/35.semantics/lint/security_raw_html.spl;src/compiler/80.driver/driver_public_header_parse.spl;src/compiler/80.driver/driver_public_shared.spl;src/lib/nogc_sync_mut/notebook/gpu_config.spl
_load_cr3	private helper	src-only	src=3 test=0	src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_md_parse_i64	private helper	src-only	src=2 test=0	src/lib/editor/extensions/builtin/md_language.spl;src/lib/editor/view/md_editing.spl
_module	private helper	mixed	src=3 test=1	src/lib/common/wine_kernel32_module_loader.spl;src/lib/common/wine_nt_dispatch_table.spl;src/lib/common/wine_ntdll_loader.spl;test/01_unit/lib/aspect_pack_forbidden_io_temporal_spec.spl
_outlook_get	private helper	src-only	src=4 test=0	src/app/devhub/adapter_outlook.spl;src/app/devhub/cmd_outlook.spl;src/app/itf/adapter_outlook.spl;src/app/itf/cmd_outlook.spl
_outlook_user_path	private helper	src-only	src=4 test=0	src/app/devhub/adapter_outlook.spl;src/app/devhub/adapter_outlook_curl.spl;src/app/itf/adapter_outlook.spl;src/app/itf/adapter_outlook_curl.spl
_pack_rgba	private helper	src-only	src=6 test=0	src/lib/gc_async_mut/compositor/gpu_command.spl;src/lib/nogc_async_mut/compositor/gpu_command.spl;src/lib/nogc_async_mut/engine/render/pipeline.spl;src/lib/nogc_sync_mut/compositor/gpu_command.spl;src/lib/nogc_sync_mut/engine/render/pipeline.spl;src/lib/nogc_sync_mut/game2d/backend/headless.spl
_pair	private helper	mixed	src=2 test=1	src/lib/common/css/shorthand.spl;src/lib/skia/feature/shaper/ot_layout_gpos.spl;test/01_unit/app/llm_caret/json_helpers_spec.spl
_parse_i32	private helper	src-only	src=7 test=0	src/compiler/99.loader/jit_instantiator.spl;src/lib/common/ui/snapshot_wire.spl;src/lib/nogc_sync_mut/baremetal/config.spl;src/os/apps/shell/shell_starship.spl;src/os/tools/shell/factor/factor_tool.spl;src/os/tools/shell/numfmt/numfmt_tool.spl;src/os/tools/shell/shuf/shuf_tool.spl
_parse_int	private helper	src-only	src=14 test=0	src/app/devhub/cmd_minio.spl;src/app/devhub/cmd_storage.spl;src/app/itf/cmd_minio.spl;src/app/model3d/main.spl;src/app/office/word/word_app.spl;src/app/play/session_store.spl;src/app/spritesheet/main.spl;src/app/startup/contract/startup_plan_v1.spl
_pd_index	private helper	src-only	src=4 test=0	src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_pic_remap	private helper	src-only	src=2 test=0	src/os/kernel/arch/x86_32/interrupt.spl;src/os/kernel/interrupts/pic.spl
