name	class	decls	subsystems	variant_sets	declarations
CommonMistake	DIVERGENT	2	2	2	./compiler/10.frontend/parser/recovery.spl:14 ./compiler_rust/lib/std/src/parser/error_recovery.spl:6
ContractKind	DIVERGENT	2	2	2	./compiler/95.interp/interpreter/contracts.spl:60 ./compiler_rust/lib/std/src/tooling/compiler/mir_types.spl:38
ControlFlow	DIVERGENT	2	2	2	./app/interpreter/control/control/loops.spl:16 ./os/apps/shell/shell_script.spl:8
DimConstraint	DIVERGENT	2	2	2	./compiler/30.types/dim_constraints_types.spl:13 ./compiler_rust/lib/std/src/verification/models/tensor_constraint.spl:1
EffectKind	DIVERGENT	2	2	2	./compiler/20.hir/hir_types.spl:833 ./compiler_rust/lib/std/src/verification/models/async_effects.spl:5
EvalResult	DIVERGENT	2	2	2	./app/interpreter/ffi/eval_slice.spl:25 ./compiler_rust/lib/std/src/hir/eval.spl:203
ExecutionMode	DIVERGENT	2	2	2	./compiler_rust/lib/std/src/spec/execution_mode.spl:6 ./lib/common/compute/placement_contracts/semantic.spl:36
FileMode	DIVERGENT	2	2	2	./compiler/99.loader/module_resolver/types.spl:34 ./lib/common/io/types.spl:339
FixConfidence	DIVERGENT	2	2	2	./compiler/00.common/diagnostics/diagnostic_v1.spl:29 ./lib/nogc_sync_mut/tooling/easy_fix/types.spl:24
GpuMemoryScope	DIVERGENT	2	2	2	./compiler/50.mir/mir_instruction_support.spl:31 ./compiler_rust/lib/std/src/tooling/compiler/mir_types.spl:126
HirPatternKind	DIVERGENT	2	2	2	./compiler/20.hir/hir_definitions.spl:666 ./compiler_rust/lib/std/src/hir/types.spl:465
IoErrorKind	DIVERGENT	2	2	2	./compiler_rust/lib/std/src/core/error.spl:42 ./lib/common/io/types.spl:97
Permission	DIVERGENT	2	2	2	./app/linker_gen/parser.spl:9 ./compiler_rust/lib/std/src/lms/auth.spl:76
PhaseResult	DIVERGENT	2	2	2	./compiler/80.driver/build_log.spl:30 ./lib/nogc_async_mut/http_server/types.spl:73
Poll	DIVERGENT	2	2	2	./compiler_rust/lib/std/src/bare/async/waker.spl:80 ./lib/nogc_async_mut/async/poll.spl:5
PromiseState	DIVERGENT	2	2	2	./compiler_rust/lib/std/src/concurrency/promise.spl:58 ./lib/common/js/builtins/promise.spl:6
ProofStatus	DIVERGENT	2	2	2	./compiler/90.tools/verify/checker.spl:14 ./compiler_rust/lib/std/src/verification/proofs/obligations.spl:10
RuleAction	DIVERGENT	2	2	2	./compiler/70.backend/arch_rules.spl:16 ./lib/nogc_async_mut/mcp/fileio_protection.spl:21
SdnValue	DIVERGENT	2	2	2	./compiler_rust/lib/std/src/sdn/value.spl:17 ./lib/common/sdn/value.spl:28
SectionType	DIVERGENT	2	2	2	./compiler/70.backend/linker/smf_writer.spl:45 ./compiler_rust/lib/std/src/mcp/core/markdown.spl:11
Shutdown	DIVERGENT	2	2	2	./compiler_rust/lib/std/src/host/common/net/shutdown.spl:7 ./lib/common/io/types.spl:373
StmtKind	DIVERGENT	2	2	2	./compiler/10.frontend/parser_types_expr.spl:446 ./os/apps/shell/shell_script.spl:19
TargetArch	DIVERGENT	2	2	2	./compiler/70.backend/backend/backend_selector.spl:26 ./lib/common/target.spl:1
TargetFamily	DIVERGENT	2	2	2	./compiler/60.mir_opt/mir_opt/target_family.spl:10 ./lib/nogc_sync_mut/simd/numeric_caps.spl:12
TaskKind	DIVERGENT	2	2	2	./app/llm_dashboard/data/types.spl:1 ./compiler_rust/lib/std/src/mcp/tooling.spl:29
TaskStatus	DIVERGENT	2	2	2	./app/office/planner/task.spl:9 ./compiler_rust/lib/std/src/mcp/tooling.spl:91
Terminator	DIVERGENT	2	2	2	./compiler/55.borrow/borrow_check/nll.spl:39 ./compiler_rust/lib/std/src/tooling/compiler/graph_utils.spl:38
ValueType	DIVERGENT	2	2	2	./app/interpreter/memory/message_transfer.spl:396 ./compiler/70.backend/sffi_minimal.spl:13
HirType	DIVERGENT	26	1	12	./compiler/25.traits/trait_method_resolution.spl:15 ./compiler/30.types/associated_types_defs.spl:20 ./compiler/30.types/associated_types_phase4a.spl:16 ./compiler/30.types/associated_types_phase4b.spl:16 ./compiler/30.types/associated_types_phase4c.spl:16 ./compiler/30.types/associated_types_phase4d.spl:16 ./compiler/30.types/bidir_phase1a.spl:56 ./compiler/30.types/bidir_phase1b.spl:16 ./compiler/30.types/bidir_phase1c.spl:17 ./compiler/30.types/bidir_phase1d.spl:26 ./compiler/30.types/bidirectional_types.spl:60 ./compiler/30.types/const_key_type.spl:12 ./compiler/30.types/const_keys_phase8b.spl:15 ./compiler/30.types/const_keys_phase8c.spl:188 ./compiler/30.types/higher_rank_poly_phase5a.spl:115 ./compiler/30.types/higher_rank_poly_phase5c.spl:43 ./compiler/30.types/higher_rank_poly_phase5d.spl:43 ./compiler/30.types/higher_rank_poly_types.spl:114 ./compiler/30.types/macro_checker_phase7a.spl:15 ./compiler/30.types/macro_checker_phase7b.spl:16 ./compiler/30.types/macro_checker_phase7c.spl:16 ./compiler/30.types/macro_def.spl:20 ./compiler/30.types/variance_phase6b.spl:59 ./compiler/30.types/variance_phase6c.spl:56 ./compiler/30.types/variance_phase6d.spl:63 ./compiler/30.types/variance_types.spl:279
Dim	DIVERGENT	7	1	4	./compiler_rust/lib/std/examples/ml/reshape_examples.spl:10 ./compiler_rust/lib/std/examples/ml/tensor_advanced_operations.spl:18 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_complete.spl:14 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_demo.spl:13 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_demo_short.spl:13 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_standalone_demo.spl:13 ./compiler_rust/lib/std/src/verification/models/tensor_dim.spl:28
InferMode	DIVERGENT	7	1	3	./compiler/30.types/bidir_phase1a.spl:15 ./compiler/30.types/bidir_phase1b.spl:12 ./compiler/30.types/bidir_phase1c.spl:13 ./compiler/30.types/bidir_phase1d.spl:16 ./compiler/30.types/bidirectional_types.spl:19 ./compiler/30.types/type_infer_types.spl:223 ./compiler/30.types/type_system/bidirectional.spl:26
ShapeResult	DIVERGENT	6	1	2	./compiler_rust/lib/std/examples/ml/reshape_examples.spl:23 ./compiler_rust/lib/std/examples/ml/tensor_advanced_operations.spl:41 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_complete.spl:141 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_demo.spl:29 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_demo_short.spl:119 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_standalone_demo.spl:119
Kind	DIVERGENT	5	1	2	./compiler/30.types/higher_rank_poly_phase5a.spl:15 ./compiler/30.types/higher_rank_poly_phase5b.spl:15 ./compiler/30.types/higher_rank_poly_phase5c.spl:15 ./compiler/30.types/higher_rank_poly_phase5d.spl:15 ./compiler/30.types/higher_rank_poly_types.spl:14
RunStatus	DIVERGENT	5	1	2	./lib/gc_async_mut/src/exp/run.spl:20 ./lib/nogc_async_mut/database/test.spl:24 ./lib/nogc_async_mut/src/exp/run.spl:20 ./lib/nogc_sync_mut/database/test.spl:23 ./lib/nogc_sync_mut/src/exp/run.spl:20
ShapeError	DIVERGENT	5	1	4	./compiler_rust/lib/std/examples/ml/reshape_examples.spl:14 ./compiler_rust/lib/std/examples/ml/tensor_advanced_operations.spl:25 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_complete.spl:21 ./compiler_rust/lib/std/examples/ml/tensor_dimensions_demo.spl:20 ./compiler_rust/lib/std/src/verification/models/tensor_error.spl:1
Variance	DIVERGENT	5	1	2	./compiler/30.types/variance_phase6a.spl:15 ./compiler/30.types/variance_phase6b.spl:16 ./compiler/30.types/variance_phase6c.spl:16 ./compiler/30.types/variance_phase6d.spl:16 ./compiler/30.types/variance_types.spl:14
DiagnosticLevel	DIVERGENT	4	1	2	./compiler/10.frontend/core/aop.spl:39 ./compiler/15.blocks/blocks/context.spl:10 ./compiler/80.driver/build_log.spl:35 ./compiler/weaving/diagnostics.spl:10
FrameState	DIVERGENT	4	1	2	./lib/gc_async_mut/compositor/frame.spl:10 ./lib/nogc_async_mut/compositor/frame.spl:10 ./lib/nogc_sync_mut/compositor/frame.spl:10 ./lib/viz/feature/frame_scheduler.spl:19
BackendKind	DIVERGENT	3	1	2	./compiler/10.frontend/core/backend_types.spl:12 ./compiler/70.backend/backend/backend_types.spl:20 ./compiler/70.backend/backend_types.spl:16
BlendMode	DIVERGENT	3	1	2	./lib/common/drawing/document.spl:12 ./lib/nogc_async_mut/engine/render/types.spl:28 ./lib/nogc_sync_mut/engine/render/types.spl:28
BuildMode	DIVERGENT	3	1	2	./compiler/10.frontend/core/backend_types.spl:290 ./compiler/70.backend/backend/backend_types.spl:212 ./compiler/80.driver/build_mode.spl:13
CaptureMode	DIVERGENT	3	1	2	./compiler_rust/lib/std/src/hir/types.spl:280 ./compiler_rust/lib/std/src/spec/screenshot.spl:100 ./compiler_rust/lib/std/src/tooling/compiler/mir_types.spl:205
GpuBackend	DIVERGENT	3	1	2	./lib/common/gpu/device.spl:3 ./lib/nogc_async_mut/engine/physics/backend_gpu/gpu_solver.spl:465 ./lib/nogc_sync_mut/engine/physics/backend_gpu/gpu_solver.spl:13
JsExpression	DIVERGENT	3	1	2	./lib/common/js/types/ast_types.spl:8 ./lib/js/types/ast_types.spl:13 ./lib/nogc_sync_mut/js/types/ast_types.spl:23
JsStatement	DIVERGENT	3	1	2	./lib/common/js/types/ast_types.spl:35 ./lib/js/types/ast_types.spl:35 ./lib/nogc_sync_mut/js/types/ast_types.spl:66
JsValue	DIVERGENT	3	1	2	./lib/common/js/types/js_types.spl:5 ./lib/js/types/js_types.spl:3 ./lib/nogc_sync_mut/js/types/js_types.spl:7
Language	DIVERGENT	3	1	3	./compiler_rust/lib/std/src/mcp/multi_lang/__init__.spl:50 ./compiler_rust/lib/std/src/tooling/core/project.spl:10 ./compiler_rust/lib/std/src/tooling/todo_parser.spl:36
LinalgError	DIVERGENT	3	1	3	./lib/common/science_math/blas.spl:35 ./lib/common/science_math/lapack.spl:38 ./lib/nogc_async_mut/linalg/linalg_core.spl:8
Ordering	DIVERGENT	3	1	3	./compiler_rust/lib/std/src/core/cmp_ord.spl:6 ./compiler_rust/lib/std/src/core/traits.spl:84 ./compiler_rust/lib/std/src/infra/atomic.spl:23
ResourceType	DIVERGENT	3	1	2	./lib/nogc_async_mut/failsafe/resource_monitor.spl:14 ./lib/nogc_sync_mut/engine/resource/types.spl:42 ./lib/nogc_sync_mut/failsafe/resource_monitor.spl:14
