   5721 0	OK
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: HuffTable") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: gzip_stream_compress") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: fs") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Float<N>") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: exit") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: eval_control") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: encode_neon_f<N>x<N>_<N>reg") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: detect_all_tools") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: common_parse_headers") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: ByteSpan") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Buffer") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: add_response_header") 
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering SdnValue.get: struct '
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering EngineDomBackend.find_
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering buffer_write_byte: str
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering buffer_read_byte: stru
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering buffer_clear: struct '
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering AABB.intersects: struc
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: bitfield constructors currently accept exactly one positional
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `memory.refc_binary`: Module resolution error: SemanticWithC
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `fs`: Module resolution error: SemanticWithContext(Contextua
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `common.string_core`: Module resolution error: SemanticWithC
      3 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `app.ui.render.types`: Module resolution error: SemanticWith
      3 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Newline after impl block colon, found Identifier { name: "Task", patt
      3 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected identifier, found Newline 
      3 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected identifier, found Colon 
      3 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Else 
      3 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Assign 
      3 1	error: compile failed (<P>): parse: in "<P> Syntax error at <N>:<N>: parallel operator // requires a left operand; use # for comments 
      3 1	error: compile failed (<P>): parse: in "<P> function arguments: expected Comma, found LBrace 
      3 1	error: compile failed (<P>): parse: in "<P> function arguments: expected Comma, found Identifier { name: "_bytes", pattern: Private } 
      3 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.terminal` (higher_layer_runtime
      3 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.io.tcp` (higher_layer_runtime_f
      3 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_async_mut.gpu.engine<N>d.backend_lane` (
      3 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_async_mut.gpu.device` (nogc_imports_gc_f
      3 1	error: compile failed (<P>): lint: error: runtime family `gc_async_mut` must not import `std.nogc_sync_mut.io.browser_net_runtime` (gc_impor
      3 1	error: compile failed (<P>): lint: error: runtime family `gc_async_mut` must not import `std.nogc_sync_mut.gpu.engine<N>d.sffi_vulkan` (gc_i
      3 1	error: compile failed (<P>): codegen: Module error: codegen: <N> function body/bodies failed to compile: [Set.new, Set.with_capacity]; set S
      3 1	error: compile failed (<P>): codegen: Module error: codegen: <N> function body/bodies failed to compile: [Lazy.map, Lazy.flat_map, Lazy.filt
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: webgpu_sffi_is_available") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Vec<N>f") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: vec<N>") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: vec") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: unreachable_hir_variant") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TypeInferencer") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: trim") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: tracking") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TLS_MAX_RECORD_WIRE_LENGTH_V<N>") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TargetKind") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sys_get_args") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Sync") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: status_reason") 
