symbol	class	scoped_callsites	declaring_file
native_ftp_size	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_stat	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_upload	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_ftp_upload_bytes	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/net/ftp.spl
native_http_request	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/async_gc_immut/net/http.spl
native_madvise	SHADOWED_BY_SPL_FN	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_memcpy	GENUINELY_MISSING	2	src/compiler_rust/lib/std/src/core_nogc/arena.spl
native_memset	GENUINELY_MISSING	2	src/compiler_rust/lib/std/src/core_nogc/arena.spl
native_munmap	SHADOWED_BY_SPL_FN	1	src/compiler_rust/lib/std/src/file/mmap.spl
native_tcp_listener_close	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/async_gc_immut/net/tcp.spl
native_tcp_local_addr	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/async_gc_immut/net/tcp.spl
native_tcp_recv	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/async_gc_immut/net/tcp.spl
native_tcp_send	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/async_gc_immut/net/tcp.spl
normalize_index	SHADOWED_BY_SPL_FN	4	src/runtime/simple_core/core_array_ops.spl
notify_task	DEAD_DECLARATION	0	src/os/posix/signal_dispatch.spl
num_groups	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
num_groups_dim	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
numeric_index	SHADOWED_BY_SPL_FN	2	src/runtime/simple_core/core_array_ops.spl
par_filter	DEAD_DECLARATION	0	src/app/ffi_gen.specs/lib_wrappers.spl
par_map	DEAD_DECLARATION	0	src/app/ffi_gen.specs/lib_wrappers.spl
par_reduce	DEAD_DECLARATION	0	src/app/ffi_gen.specs/lib_wrappers.spl
par_sort	DEAD_DECLARATION	0	src/app/ffi_gen.specs/lib_wrappers.spl
path_components	GENUINELY_MISSING	2	src/lib/nogc_async_mut/fs.spl
path_extension	SHADOWED_BY_SPL_FN	2	src/lib/nogc_async_mut/fs.spl
path_filename	SHADOWED_BY_SPL_FN	2	src/lib/nogc_async_mut/fs.spl
path_is_absolute	DEAD_DECLARATION	0	src/lib/nogc_async_mut/fs.spl
